Iteration	AverageCost	StdCost	MinimumCost	MaximumCost	AverageReturn	StdReturn	MinimumReturn	MaximumReturn
0	123.85539297149339	94.2984100109943	-88.20323650609589	239.8559416277825	166.30905548925938	27.170616394658875	119.29286355865584	204.74410914860624
1	-706.04567109905	103.72365173780317	-941.4604268760627	-563.3103176679258	812.0599761546159	62.83959762376323	704.0336320258211	892.2163103136677
2	-1058.6103644980535	98.62288292649323	-1245.1943363962341	-897.6538231603994	976.0526993676551	72.05591031684021	851.4676304514779	1076.6615293874856
3	-1074.5709931027448	88.1733857015994	-1180.9860835607642	-904.5040334460049	960.4983652638728	67.8034205157392	843.4048585538821	1052.3939557734925
4	-1233.8450003395258	37.03609802081876	-1299.0529623660202	-1180.6258083216928	1054.6351677481684	38.52418027265259	1005.2947277836709	1126.3888494625523
5	-1295.2394576637132	87.91724591558459	-1511.4776504229887	-1154.2587297106197	1161.6125260943552	88.9356859770902	1034.5260915917709	1394.2890440519282
6	-1170.348964654014	57.780024670298324	-1273.5226665653024	-1090.1650822838171	1093.9296971592757	53.199153685185195	1034.1099631335321	1174.240785910658
7	-1170.8671966878326	46.04503770459251	-1247.8841097614693	-1098.7750702448902	1000.9790206890011	32.3900838897888	951.7733668517882	1064.2716677370254
8	-1228.876467788789	64.42433110342564	-1321.9875879763983	-1131.9473768495118	1059.9904786496368	45.99983736680716	986.8786795074689	1124.7194363998638
9	-1196.2427681933887	93.67754076860474	-1354.0959965081006	-1066.5492467951444	1067.0265702127822	59.46184474307932	981.861432741386	1170.1430678735828
10	-1326.151738893553	45.47259188182217	-1390.52982568412	-1262.5648304896567	1165.4045103338365	43.696079077351754	1069.8407808218656	1218.1424866136447
11	-1394.8818535442192	59.42720126971136	-1483.4118539052772	-1254.8783440949287	1213.3421509958973	40.295154029099244	1163.2558892247407	1288.8599949984043
12	-1279.6477939268025	77.45463729399532	-1427.0788737096907	-1140.5160297111886	1133.7752213613724	57.75208091037238	1059.538909546712	1254.1227546139062
13	-1321.2320147204093	64.6334584380214	-1444.5701961148638	-1237.5001682897012	1137.418406034552	63.54965058525843	1031.6353477841371	1262.7848818492598
14	-1438.4465535829045	75.7522653697955	-1518.9876843757795	-1262.5637652955306	1276.431868957552	61.76044694555448	1125.642442579931	1326.8676965721584
