Time	Iteration	AverageReturn	MpcReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsSoFar
127.68325877189636	1	-868.6584204184991	-525.8917718477602	0.0	-868.6584204184991	-868.6584204184991	1000.0	0.0	1000
249.57071733474731	2	-660.8457886754999	-150.71602406696397	0.0	-660.8457886754999	-660.8457886754999	1000.0	0.0	2000
370.847341299057	3	-605.9886341021942	18.117981693760246	0.0	-605.9886341021942	-605.9886341021942	1000.0	0.0	3000
494.1109268665314	4	-528.933198951341	317.65581503864064	0.0	-528.933198951341	-528.933198951341	1000.0	0.0	4000
615.7816228866577	5	-308.39269729292386	607.585430519374	0.0	-308.39269729292386	-308.39269729292386	1000.0	0.0	5000
738.85502409935	6	-243.56270693498607	930.7779433569463	0.0	-243.56270693498607	-243.56270693498607	1000.0	0.0	6000
861.3710868358612	7	-343.7879604342634	881.8708944848762	0.0	-343.7879604342634	-343.7879604342634	1000.0	0.0	7000
985.1957454681396	8	-1.5096428950498184	1177.4977951487667	0.0	-1.5096428950498184	-1.5096428950498184	1000.0	0.0	8000
1109.7378404140472	9	-61.0396751221957	997.8073798063025	0.0	-61.0396751221957	-61.0396751221957	1000.0	0.0	9000
1231.4438753128052	10	-685.5255824080638	1092.9990703131325	0.0	-685.5255824080638	-685.5255824080638	1000.0	0.0	10000
1353.0544278621674	11	-66.47328805253163	998.8887870199474	0.0	-66.47328805253163	-66.47328805253163	1000.0	0.0	11000
1476.1021840572357	12	-598.8785757250155	528.8949962573539	0.0	-598.8785757250155	-598.8785757250155	1000.0	0.0	12000
1596.9195954799652	13	-186.96645948222974	1299.5000356955513	0.0	-186.96645948222974	-186.96645948222974	1000.0	0.0	13000
1716.2708792686462	14	-684.069644629169	1444.9233963940892	0.0	-684.069644629169	-684.069644629169	1000.0	0.0	14000
1841.4381425380707	15	-19.737338590761066	493.0420876218625	0.0	-19.737338590761066	-19.737338590761066	1000.0	0.0	15000
1966.988517999649	16	35.41488967729654	1199.785399235997	0.0	35.41488967729654	35.41488967729654	1000.0	0.0	16000
2091.90864276886	17	-788.6896356406917	1340.1611240668797	0.0	-788.6896356406917	-788.6896356406917	1000.0	0.0	17000
2211.9416007995605	18	-624.7641453814492	1283.2193206252923	0.0	-624.7641453814492	-624.7641453814492	1000.0	0.0	18000
2331.654361963272	19	-638.1190380668402	1146.9622337209885	0.0	-638.1190380668402	-638.1190380668402	1000.0	0.0	19000
2454.055077791214	20	-651.3007498735604	1420.8880594649133	0.0	-651.3007498735604	-651.3007498735604	1000.0	0.0	20000
2574.6072149276733	21	152.7908194307873	1020.1850066919061	0.0	152.7908194307873	152.7908194307873	1000.0	0.0	21000
2695.2609379291534	22	-21.515817594784963	1269.079166654748	0.0	-21.515817594784963	-21.515817594784963	1000.0	0.0	22000
2817.1079943180084	23	-507.1271403036982	1285.5849506483007	0.0	-507.1271403036982	-507.1271403036982	1000.0	0.0	23000
2937.982097864151	24	549.0408451549303	1586.3322267108258	0.0	549.0408451549303	549.0408451549303	1000.0	0.0	24000
3063.2381629943848	25	23.7795249717037	1397.2765532452374	0.0	23.7795249717037	23.7795249717037	1000.0	0.0	25000
3185.416862010956	26	357.9652218877839	1310.0298182698602	0.0	357.9652218877839	357.9652218877839	1000.0	0.0	26000
3309.1063401699066	27	481.0962699264817	1406.5704727732787	0.0	481.0962699264817	481.0962699264817	1000.0	0.0	27000
